시도명,시군구명,대피소명,주소,수용가능인원수,면적(㎡),경도,위도,비고,내진적용여부,해변에서의거리(m),긴급대피장소,대피소분류명,해발높이
city_name,gun_name,shelter_name,address,accept_limit,size,longitude,latitude,note,earthquake_proof,beach_distance,emergency_shelter,classify_shelter_name,sea_height
강원도,속초시,조양초등학교,강원도 속초시 조양동 1396,1500,,128.5983700,38.1883650,,,,,,
강원도,속초시,조양초등학교,강원도 속초시 조양동 1396,1500,,128.5983700,38.1883650,,,,,,
강원도,속초시,설악고등학교,강원도 속초시 조양동 589-7,3000,,128.5737810,38.1852280,,,,,,
강원도,속초시,선사유적지 고지대,강원도 속초시 조양동 산142-8,400,,128.5880000,38.1850000,,,,,,
강원도,속초시,시청주차장 고지대,강원도 속초시 중앙동 469-1,200,,128.5920000,38.2070000,,,,,,
강원도,속초시,(구)측후소 고지대,강원도 속초시 중앙동 469-40,500,,128.5900000,38.2070000,,,,,,
강원도,속초시,(구)측후소 고지대,강원도 속초시 중앙동 469-41,3000,,128.5900000,38.2070000,,,,,,
강원도,속초시,청학연립주차장 고지대,강원도 속초시 청학동 486-184,710,,128.5850860,38.2032000,,,,,,
강원도,속초시,설악대교,강원도 속초시 청호동 1051,300,,128.5940000,38.2000000,,,,,,
강원도,속초시,이마트,강원도 속초시 청호동 459-134,500,,128.5960880,38.1909260,,,,,,
강원도,속초시,이마트,강원도 속초시 청호동 459-134,500,,128.5960880,38.1909260,,,,,,
강원도,속초시,금강대교,강원도 속초시 청호동 설악금강대교로 151,500,,128.5930000,38.2010000,,,,,,
강원도,고성군,천진리뒷산(1) 고지대,강원도 고성군 토성면 천진리 산3-1,400,,128.5552670,38.2556810,,,,,,
강원도,고성군,천진리뒷산(2) 고지대,강원도 고성군 토성면 천진리 산32임,550,,128.5529780,38.2554910,,,,,,
강원도,고성군,아야진장로교회 고지대,강원도 고성군 토성면 청간리 2-1,150,,128.5543190,38.2688990,,,,,,
강원도,고성군,토성정수장 고지대,강원도 고성군 토성면 청간리 산36-3,200,,128.5549830,38.2650780,,,,,,
강원도,고성군,대진초등학교 고지대,강원도 고성군 현내면 대진리 148,1700,,128.4235880,38.4969880,,,,,,
강원도,고성군,대진감리교회 고지대,강원도 고성군 현내면 대진리 189-1,300,,128.4268580,38.4951720,,,,,,
강원도,고성군,현내면공설운동장 고지대,강원도 고성군 현내면 대진리 310,2000,,128.4187060,38.5007770,,,,,,
강원도,고성군,명파교회 고지대,강원도 고성군 현내면 명파리 295-33,300,,128.4013790,38.5383860,,,,,,
강원도,고성군,이승만별장 고지대,강원도 고성군 현내면 죽정리 산1-3,50,,128.4361380,38.4709280,,,,,,
강원도,고성군,초도항뒷산 고지대,강원도 고성군 현내면 초도리 222-30,50,,128.4307160,38.4885670,,,,,,
강원도,고성군,대진중고등학교,강원도 고성군 현내면 초도리 75,490,,128.4329430,38.4841260,,,,,,
강원도,고성군,화진포정보화마을 고지대,강원도 고성군 현내면 초도리 84임,100,,128.4370220,38.4838350,,,,,,
강원도,동해시,폐수종말처리장,강원도 동해시 구미동 232,100,,129.1309170,37.4808490,,,,,,
강원도,동해시,만경대,강원도 동해시 구미동 산53,50,,129.1366590,37.4871630,,,,,,
강원도,동해시,북평공단 소공원,강원도 동해시 구호동 249-1,200,,129.1554520,37.4796180,,,,,,
강원도,동해시,단병골입구,강원도 동해시 대진동 155-8,200,,129.1145730,37.5770290,,,,,,
강원도,동해시,대진도로,강원도 동해시 대진동 196-4,300,,129.1126240,37.5798380,,,,,,
